SDR	7.7.6
03/08/2008 10:40:00	3.4	0.4	4.2	2.3	4.2	0.3	4.7	3.6	3.4	0.4	4.2	2.3	3.2	0.4	4.2	1.9									186	6	187	260	178	7	182	350					-4.4	0.0	-4.0	-4.5								
03/08/2008 10:50:00	3.5	0.4	4.2	2.6	4.3	0.3	5.0	3.6	3.5	0.4	4.6	2.6	3.3	0.4	4.2	2.3									183	8	189	260	175	9	175	350					-4.1	0.0	-4.0	-4.2								
03/08/2008 11:00:00	3.6	0.4	4.6	2.6	4.4	0.4	5.3	3.3	3.5	0.4	4.2	2.3	3.4	0.4	4.2	2.3									177	4	180	260	167	5	173	350					-4.2	0.0	-4.0	-4.5								
03/08/2008 11:10:00	3.9	0.4	4.9	1.9	4.7	0.3	5.3	3.3	3.9	0.4	4.6	2.3	4.0	0.3	4.6	2.3									180	5	182	260	171	5	165	350					-4.2	0.0	-4.0	-4.5								
03/08/2008 11:20:00	4.1	0.4	4.9	2.6	4.8	0.3	5.6	3.6	4.0	0.4	4.9	2.6	3.9	0.4	4.9	2.6									176	5	171	260	168	5	169	350					-4.0	0.0	-3.8	-4.0								
03/08/2008 11:30:00	4.7	0.3	5.3	4.2	5.6	0.4	6.4	4.1	4.6	0.5	5.7	3.0	4.3	0.6	5.7	3.0									169	2	171	260	160	4	161	350					-3.8	0.0	-3.6	-4.0								
03/08/2008 11:40:00	5.0	0.2	5.7	4.6	6.0	0.3	6.7	5.0	5.0	0.3	5.7	3.8	4.8	0.4	5.7	3.4									171	2	173	260	164	3	165	350					-3.7	0.0	-3.6	-3.8								
03/08/2008 11:50:00	4.9	0.2	5.7	4.6	6.1	0.3	6.4	5.3	5.0	0.2	5.3	3.8	5.0	0.4	5.7	3.8									173	3	175	260	167	3	166	350					-3.9	0.0	-3.6	-3.8								
03/08/2008 12:00:00	5.1	0.2	5.7	4.6	6.1	0.3	6.7	5.0	5.0	0.3	5.7	3.8	5.0	0.4	5.7	3.4									176	3	176	260	170	3	169	350					-3.9	0.0	-3.8	-4.0								
03/08/2008 12:10:00	5.1	0.3	5.7	4.2	6.0	0.3	6.7	5.0	5.0	0.3	5.7	4.2	4.8	0.4	5.7	3.4									176	2	186	260	170	3	169	350					-3.9	0.0	-3.6	-3.8								
03/08/2008 12:20:00	5.2	0.3	5.7	4.6	6.0	0.4	6.7	5.0	5.0	0.4	6.1	3.8	4.8	0.5	5.7	3.4									178	2	179	260	171	3	164	350					-3.7	0.0	-3.6	-3.8								
03/08/2008 12:30:00	5.2	0.3	6.1	4.2	6.0	0.4	6.7	4.7	5.1	0.4	6.1	3.8	5.0	0.5	6.1	3.4									178	2	180	260	171	3	170	350					-3.7	0.0	-3.6	-3.8								
03/08/2008 12:40:00	5.0	0.4	5.7	3.8	5.6	0.4	6.4	4.4	4.9	0.4	5.7	3.4	4.8	0.5	5.7	3.4									180	3	180	260	173	4	174	350					-3.8	0.0	-3.6	-3.8								
03/08/2008 12:50:00	4.8	0.4	5.7	3.4	5.4	0.5	6.2	3.9	4.7	0.5	5.7	3.4	4.6	0.5	5.7	3.0									175	3	179	260	168	4	172	350					-3.9	0.0	-3.8	-4.0								
